Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2020-11-30 11:37:43.4889,1,70f58de6fec217ce8d9384de850b83ea,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-30 11:37:47.0098,10,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-30 11:37:47.1153,17,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:37:47.4858,44,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.5051,1,(0.476 0.449 0.483 0.512 0.495 0.547 0.512 0.505 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-30 11:38:08.5551,1554,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2988,1,(0.350 0.340 0.322 0.310 0.315 0.307 0.337 0.299 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:09.4461,1618,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.5429,2,(0.484 0.583 0.599 0.591 0.551 0.542 0.543 0.309 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-11-30 11:38:14.0483,1947,70f58de6fec217ce8d9384de850b83ea,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2020-11-30 11:38:14.1941,1957,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2738,2,(0.599 0.611 0.538 0.513 0.516 0.407 0.274 0.588 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:15.4608,2043,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.6068,3,(0.508 0.561 0.607 0.312 0.333 0.320 0.378 0.451 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-30 11:38:20.1814,2365,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2812,3,(0.331 0.281 0.476 0.503 0.448 0.415 0.441 0.360 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:21.4767,2458,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.6466,4,(0.342 0.417 0.437 0.433 0.507 0.548 0.597 0.647 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-30 11:38:22.3684,2520,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2752,4,(0.359 0.325 0.300 0.321 0.316 0.310 0.275 0.432 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:23.2600,2583,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.3745,5,(0.327 0.342 0.355 0.375 0.377 0.374 0.329 0.334 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:38:26.0331,2771,70f58de6fec217ce8d9384de850b83ea,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,3.9445,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2020-11-30 11:38:26.5738,2809,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2962,5,(0.323 0.343 0.340 0.296 0.398 0.376 0.330 0.315 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:27.2289,2856,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.4274,6,(0.301 0.318 0.355 0.328 0.313 0.309 0.354 0.427 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:38:27.2299,2856,70f58de6fec217ce8d9384de850b83ea,anonymous,NULL,NULL,NULL,NULL,Closed,0,-4.8022,0.0000,Running,3.9445,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-11-30 11:38:27.2324,2856,70f58de6fec217ce8d9384de850b83ea,anonymous,NULL,NULL,NULL,NULL,Closed,0,-4.8022,0.0000,Running,3.9445,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-11-30 11:38:30.6828,3098,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2918,6,(0.358 0.292 0.410 0.428 0.446 0.423 0.433 0.383 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:31.8238,3180,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.5729,7,(0.347 0.449 0.486 0.563 0.573 0.311 0.310 0.321 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-30 11:38:35.0122,3403,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2629,7,(0.263 0.427 0.457 0.423 0.409 0.403 0.353 0.303 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:35.7926,3458,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.4591,8,(0.331 0.375 0.404 0.387 0.383 0.422 0.459 0.322 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-30 11:38:36.6704,3521,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2837,8,(0.416 0.326 0.363 0.320 0.284 0.497 0.486 0.421 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 11:38:37.5617,3584,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.3190,9,(0.322 0.324 0.340 0.319 0.353 0.327 0.311 0.318 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-30 11:38:38.0916,3622,70f58de6fec217ce8d9384de850b83ea,anonymous,ReceivingData,0.2923,9,(0.401 0.386 0.372 0.364 0.292 0.359 0.365 0.387 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
