Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2020-12-01 09:39:19.5471,1,ad874ab910d97092cca9ae6d661e3e0f,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-01 09:39:25.8156,7,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-01 09:39:25.8921,10,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-12-01 09:40:06.3097,2635,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 09:40:13.2946,3109,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7088,1,(0.709 0.603 0.637 0.666 0.675 0.699 0.712 0.695 ),NULL
Rest,2020-12-01 09:40:13.8061,3143,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5965,1,(0.622 0.596 0.762 0.784 0.792 0.746 0.714 0.704 ),NULL
InputWindowChange,2020-12-01 09:40:18.2921,3455,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.3814,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 09:40:21.6048,3693,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6619,2,(0.652 0.650 0.662 0.635 0.644 0.639 0.632 0.661 ),NULL
InputWindowChange,2020-12-01 09:40:21.6058,3693,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,0,-2.6818,0.0000,Running,1.3814,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-01 09:40:21.6158,3693,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,0,-2.6818,0.0000,Running,1.3814,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,NULL,NULL,NULL,AccInput
Rest,2020-12-01 09:40:21.7144,3700,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5993,2,(0.652 0.650 0.662 0.606 0.599 0.639 0.632 0.661 ),NULL
MotorImagery,2020-12-01 09:40:33.9934,4552,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7156,3,(0.686 0.725 0.716 0.601 0.637 0.683 0.687 0.669 ),NULL
Rest,2020-12-01 09:40:34.2872,4564,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5184,3,(0.686 0.725 0.716 0.752 0.714 0.607 0.518 0.669 ),NULL
InputWindowChange,2020-12-01 09:40:36.2931,4694,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Open,1,0.0000,0.0000,Running,3.9113,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 09:40:39.2311,4892,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7002,4,(0.700 0.679 0.687 0.687 0.710 0.694 0.690 0.682 ),NULL
InputWindowChange,2020-12-01 09:40:39.2321,4892,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,1,-3.0622,0.0000,Running,3.9113,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-01 09:40:39.2331,4892,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,1,-3.0622,0.0000,Running,3.9113,28,0.0667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,NULL,NULL,NULL,AccInput
Rest,2020-12-01 09:40:39.4684,4909,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5515,4,(0.700 0.659 0.685 0.666 0.552 0.694 0.690 0.682 ),NULL
MotorImagery,2020-12-01 09:40:53.6568,5920,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6598,5,(0.667 0.660 0.650 0.676 0.673 0.677 0.662 0.699 ),NULL
Rest,2020-12-01 09:40:54.0468,5948,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6107,5,(0.665 0.611 0.682 0.710 0.757 0.751 0.757 0.732 ),NULL
