Event,Timestamp,Framecount,SessionID,Email,BCIConfidence,BCIState
Sample,2021-05-13 13:12:59.8771,14,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0757,ReceivingData
Sample,2021-05-13 13:12:59.9033,15,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0899,ReceivingData
Sample,2021-05-13 13:12:59.9432,18,fe5fc626256b64e28c699851cb9e6065,anonymous,0.1743,ReceivingData
Sample,2021-05-13 13:12:59.9572,19,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2695,ReceivingData
Sample,2021-05-13 13:13:00.0680,27,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0407,ReceivingData
Sample,2021-05-13 13:13:00.0810,28,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0343,ReceivingData
Sample,2021-05-13 13:13:00.1908,36,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0249,ReceivingData
Sample,2021-05-13 13:13:00.2040,37,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0117,ReceivingData
Sample,2021-05-13 13:13:00.3295,46,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0050,ReceivingData
Sample,2021-05-13 13:13:00.3432,47,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0049,ReceivingData
Sample,2021-05-13 13:13:00.3578,48,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0034,ReceivingData
Sample,2021-05-13 13:13:00.4704,55,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0022,ReceivingData
Sample,2021-05-13 13:13:00.4834,56,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0026,ReceivingData
Sample,2021-05-13 13:13:00.6095,63,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0023,ReceivingData
Sample,2021-05-13 13:13:00.6377,64,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0017,ReceivingData
Sample,2021-05-13 13:13:00.7072,68,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0015,ReceivingData
Sample,2021-05-13 13:13:00.7218,69,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0012,ReceivingData
Sample,2021-05-13 13:13:00.8309,77,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0011,ReceivingData
Sample,2021-05-13 13:13:00.8452,78,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0011,ReceivingData
Sample,2021-05-13 13:13:00.9836,87,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0008,ReceivingData
Sample,2021-05-13 13:13:01.0110,88,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0009,ReceivingData
Sample,2021-05-13 13:13:01.0937,93,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0020,ReceivingData
Sample,2021-05-13 13:13:01.1081,94,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0018,ReceivingData
Sample,2021-05-13 13:13:01.2281,103,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0021,ReceivingData
Sample,2021-05-13 13:13:01.2426,104,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0044,ReceivingData
Sample,2021-05-13 13:13:01.2568,105,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0073,ReceivingData
Sample,2021-05-13 13:13:01.3557,112,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0101,ReceivingData
Sample,2021-05-13 13:13:01.3697,113,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0209,ReceivingData
Sample,2021-05-13 13:13:01.4820,121,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0362,ReceivingData
Sample,2021-05-13 13:13:01.4979,122,fe5fc626256b64e28c699851cb9e6065,anonymous,0.0408,ReceivingData
Sample,2021-05-13 13:13:01.6059,129,fe5fc626256b64e28c699851cb9e6065,anonymous,0.1052,ReceivingData
Sample,2021-05-13 13:13:01.6199,130,fe5fc626256b64e28c699851cb9e6065,anonymous,0.1447,ReceivingData
Sample,2021-05-13 13:13:01.7313,137,fe5fc626256b64e28c699851cb9e6065,anonymous,0.1464,ReceivingData
Sample,2021-05-13 13:13:01.7456,138,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2098,ReceivingData
Sample,2021-05-13 13:13:01.8572,146,fe5fc626256b64e28c699851cb9e6065,anonymous,0.1939,ReceivingData
Sample,2021-05-13 13:13:01.8708,147,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2571,ReceivingData
Sample,2021-05-13 13:13:01.9964,156,fe5fc626256b64e28c699851cb9e6065,anonymous,0.4818,ReceivingData
Sample,2021-05-13 13:13:02.0099,157,fe5fc626256b64e28c699851cb9e6065,anonymous,0.4184,ReceivingData
Sample,2021-05-13 13:13:02.1229,165,fe5fc626256b64e28c699851cb9e6065,anonymous,0.4034,ReceivingData
Sample,2021-05-13 13:13:02.1354,166,fe5fc626256b64e28c699851cb9e6065,anonymous,0.4028,ReceivingData
Sample,2021-05-13 13:13:02.2486,174,fe5fc626256b64e28c699851cb9e6065,anonymous,0.3506,ReceivingData
Sample,2021-05-13 13:13:02.2617,175,fe5fc626256b64e28c699851cb9e6065,anonymous,0.3334,ReceivingData
Sample,2021-05-13 13:13:02.2752,176,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2808,ReceivingData
Sample,2021-05-13 13:13:02.3734,182,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2842,ReceivingData
Sample,2021-05-13 13:13:02.3879,183,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2355,ReceivingData
Sample,2021-05-13 13:13:02.4956,190,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2509,ReceivingData
Sample,2021-05-13 13:13:02.5106,191,fe5fc626256b64e28c699851cb9e6065,anonymous,0.2286,ReceivingData
Sample,2021-05-13 13:13:02.6356,200,fe5fc626256b64e28c699851cb9e6065,anonymous,0.1457,ReceivingData
