Event,Timestamp,Framecount,SessionID,Email,BCIConfidence,BCIState
Sample,2020-12-02 11:58:38.7567,14,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6521,ReceivingData
Sample,2020-12-02 11:58:38.7683,15,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6475,ReceivingData
Sample,2020-12-02 11:58:38.8780,23,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6377,ReceivingData
Sample,2020-12-02 11:58:38.8905,24,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6755,ReceivingData
Sample,2020-12-02 11:58:39.0016,32,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6660,ReceivingData
Sample,2020-12-02 11:58:39.0156,33,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6967,ReceivingData
Sample,2020-12-02 11:58:39.0281,34,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.6052,ReceivingData
Sample,2020-12-02 11:58:39.1402,42,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5904,ReceivingData
Sample,2020-12-02 11:58:39.1542,43,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5668,ReceivingData
Sample,2020-12-02 11:58:39.2659,51,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5767,ReceivingData
Sample,2020-12-02 11:58:39.2800,52,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5650,ReceivingData
Sample,2020-12-02 11:58:39.3912,60,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5588,ReceivingData
Sample,2020-12-02 11:58:39.4052,61,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5718,ReceivingData
Sample,2020-12-02 11:58:39.5170,69,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5370,ReceivingData
Sample,2020-12-02 11:58:39.5311,70,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.4815,ReceivingData
Sample,2020-12-02 11:58:39.6423,78,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.5073,ReceivingData
Sample,2020-12-02 11:58:39.6558,79,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.4139,ReceivingData
Sample,2020-12-02 11:58:39.7816,88,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.3575,ReceivingData
Sample,2020-12-02 11:58:39.7952,89,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.3633,ReceivingData
Sample,2020-12-02 11:58:39.9076,97,6e7b3880f4b26ac574e2424f508d3921,anonymous,0.3984,ReceivingData
