Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2020-12-03 12:58:06.0624,1,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-03 12:58:09.6241,10,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-03 12:58:09.6686,11,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:58:18.7297,624,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7699,1,(0.772 0.770 0.713 0.725 0.747 0.750 0.794 0.792 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:58:18.8400,632,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6887,1,(0.772 0.770 0.746 0.689 0.747 0.750 0.794 0.792 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:58:22.7958,901,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6515,2,(0.296 0.399 0.465 0.561 0.651 0.152 0.133 0.196 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:58:23.6862,949,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.4872,2,(0.673 0.649 0.607 0.487 0.683 0.697 0.708 0.724 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:58:26.2492,1123,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7102,3,(0.675 0.716 0.643 0.625 0.707 0.710 0.649 0.695 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:58:26.7645,1158,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.3479,3,(0.742 0.721 0.706 0.728 0.706 0.644 0.575 0.348 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-12-03 12:58:30.6423,1435,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:58:39.4188,2041,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6881,4,(0.688 0.577 0.613 0.639 0.654 0.662 0.686 0.683 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:58:39.8090,2069,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5634,4,(0.583 0.563 0.702 0.694 0.696 0.664 0.676 0.642 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:58:42.6246,2270,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,2.5738,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:58:45.7969,2497,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6779,5,(0.695 0.679 0.675 0.702 0.678 0.597 0.628 0.680 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:58:45.7984,2497,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,0,-2.8264,0.0000,Running,2.5738,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
