Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
BCIStateUpdated,2020-11-26 14:38:59.9541,1,d121655a34113e4ddf4500cf39dd60f7,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-26 14:39:03.4442,8,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-26 14:39:03.5438,11,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-11-26 14:39:25.4262,1551,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:39:37.4067,2405,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,0,0.0000,0.0000,Running,4.4466,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:39:43.4078,2836,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,0,0.0028,0.0000,Running,4.4466,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:39:43.4133,2836,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,0,0.0028,0.0000,Running,4.4466,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:39:55.4101,3698,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,1,0.0000,0.0000,Running,3.1841,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:40:01.4106,4129,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,1,0.0013,0.0000,Running,3.1841,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:40:01.4116,4129,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,1,0.0013,0.0000,Running,3.1841,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:40:13.4139,4991,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,2,0.0000,0.0000,Running,2.2001,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:40:19.4146,5422,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,2,0.0024,0.0000,Running,2.2001,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:40:19.4156,5422,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,2,0.0024,0.0000,Running,2.2001,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:40:31.4172,6284,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,3,0.0000,0.0000,Running,1.1136,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:40:36.6808,6662,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8319,1,(0.811 0.836 0.839 0.824 0.832 0.734 0.767 0.800 )
InputWindowChange,2020-11-26 14:40:36.6838,6662,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,3,-0.7359,0.0000,Running,1.1136,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:40:36.6898,6662,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,3,-0.7359,0.0000,Running,1.1136,29,0.0333,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:40:37.4307,6715,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6952,1,(0.695 0.840 0.849 0.845 0.830 0.805 0.782 0.738 )
InputWindowChange,2020-11-26 14:40:49.4207,7573,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,4,0.0000,0.0000,Running,1.9034,29,0.0333,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:40:55.4219,8003,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,4,0.0031,0.0000,Running,1.9034,29,0.0333,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:40:55.4229,8003,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,4,0.0031,0.0000,Running,1.9034,29,0.0333,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:41:07.4240,8864,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,5,0.0000,0.0000,Running,1.2142,29,0.0333,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:41:13.4253,9271,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,5,0.0018,0.0000,Running,1.2142,29,0.0333,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:41:13.4263,9271,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,5,0.0018,0.0000,Running,1.2142,29,0.0333,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:41:22.4201,9866,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3333,2,(0.333 0.179 0.195 0.247 0.248 0.253 0.291 0.316 )
Rest,2020-11-26 14:41:22.5450,9874,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3525,2,(0.333 0.353 0.195 0.247 0.248 0.253 0.291 0.316 )
InputWindowChange,2020-11-26 14:41:25.4275,10068,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,6,0.0000,0.0000,Running,3.4439,29,0.0333,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:41:30.0618,10392,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5257,3,(0.521 0.564 0.605 0.601 0.567 0.560 0.532 0.526 )
InputWindowChange,2020-11-26 14:41:30.0618,10392,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,6,-1.3649,0.0000,Running,3.4439,29,0.0333,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:41:30.0628,10392,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,6,-1.3649,0.0000,Running,3.4439,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:41:30.3398,10412,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4930,3,(0.534 0.532 0.521 0.501 0.493 0.560 0.532 0.526 )
MotorImagery,2020-11-26 14:41:41.1884,11188,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7179,4,(0.700 0.718 0.522 0.589 0.646 0.675 0.682 0.679 )
Rest,2020-11-26 14:41:42.3302,11270,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4611,4,(0.664 0.655 0.622 0.558 0.461 0.752 0.715 0.689 )
InputWindowChange,2020-11-26 14:41:43.4307,11348,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,7,0.0000,0.0000,Running,4.4379,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:41:49.4323,11778,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,7,0.0031,0.0000,Running,4.4379,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:41:49.4343,11778,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,7,0.0031,0.0000,Running,4.4379,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:41:55.4889,12211,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6349,5,(0.610 0.635 0.570 0.590 0.593 0.605 0.624 0.615 )
Rest,2020-11-26 14:41:56.1296,12256,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4939,5,(0.605 0.563 0.530 0.494 0.645 0.636 0.623 0.605 )
MotorImagery,2020-11-26 14:41:59.8331,12521,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5575,6,(0.562 0.558 0.526 0.547 0.538 0.567 0.574 0.599 )
Rest,2020-11-26 14:42:00.1116,12541,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4776,6,(0.562 0.558 0.560 0.540 0.509 0.478 0.574 0.599 )
InputWindowChange,2020-11-26 14:42:01.4349,12635,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,8,0.0000,0.0000,Running,4.3811,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
