Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
BCIStateUpdated,2020-11-26 14:51:17.1540,1,779b466aa3ad21ca46456d092e67ffe2,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-26 14:51:23.4358,6,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-26 14:51:23.5140,11,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-11-26 14:51:36.2300,918,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:51:48.2132,1775,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.6987,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:51:54.2124,2203,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,0,0.0021,0.0000,Running,1.6987,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:51:54.2169,2203,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,0,0.0021,0.0000,Running,1.6987,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:51:58.2656,2479,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4166,1,(0.199 0.194 0.221 0.267 0.356 0.417 0.216 0.214 )
Rest,2020-11-26 14:51:59.9350,2588,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4630,1,(0.463 0.661 0.663 0.653 0.645 0.627 0.595 0.523 )
InputWindowChange,2020-11-26 14:52:06.2164,3029,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,1,0.0000,0.0000,Running,3.6501,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:52:11.8254,3421,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5266,2,(0.527 0.515 0.529 0.529 0.515 0.515 0.514 0.518 )
InputWindowChange,2020-11-26 14:52:11.8264,3421,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,1,-0.3889,0.0000,Running,3.6501,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:52:11.8274,3421,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,1,-0.3889,0.0000,Running,3.6501,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:52:12.0912,3440,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4918,2,(0.527 0.528 0.536 0.521 0.492 0.515 0.514 0.518 )
