Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2021-05-03 10:34:36.5430,1,b573a5c649245caa098b0a8782a0c0ef,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-03 10:34:39.4411,13,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-03 10:34:39.4761,14,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,20,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-03 10:34:39.5069,16,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-03 10:34:39.8755,42,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6547,1,(0.629 0.669 0.675 0.666 0.661 0.653 0.663 0.655 ),NULL
GameRunning,2021-05-03 10:34:41.1433,133,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,0,1.9906,0.0000,Running,0.0000,20,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2021-05-03 10:34:41.4363,154,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2934,1,(0.345 0.334 0.293 0.433 0.406 0.343 0.360 0.367 ),NULL
MotorImagery,2021-05-03 10:34:42.8287,254,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3670,2,(0.366 0.367 0.303 0.357 0.367 0.368 0.384 0.378 ),NULL
Rest,2021-05-03 10:34:45.3759,428,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2973,2,(0.373 0.340 0.312 0.297 0.389 0.385 0.359 0.378 ),NULL
MotorImagery,2021-05-03 10:34:46.0169,474,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5800,3,(0.438 0.550 0.572 0.571 0.562 0.580 0.342 0.396 ),NULL
