Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-05 16:35:25.3703,1,590961cb6765e08b5f007e94133158fe,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-05 16:35:28.9829,7,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-05 16:35:29.0769,9,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:35:34.3070,181,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.3443,1,(0.350 0.365 0.361 0.377 0.382 0.375 0.355 0.344 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:35:34.5411,188,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2411,1,(0.328 0.318 0.309 0.241 0.382 0.375 0.355 0.344 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:35:36.1452,235,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.3573,2,(0.359 0.394 0.374 0.375 0.355 0.352 0.357 0.303 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:35:38.9447,315,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2795,2,(0.419 0.409 0.383 0.347 0.279 0.361 0.355 0.386 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:00.3951,966,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.4099,3,(0.389 0.366 0.410 0.319 0.373 0.409 0.418 0.394 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:01.3248,995,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2589,3,(0.318 0.318 0.313 0.259 0.329 0.313 0.306 0.304 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:03.3105,1055,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.3659,4,(0.353 0.355 0.373 0.366 0.305 0.307 0.320 0.339 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:04.5934,1095,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2743,4,(0.305 0.274 0.444 0.399 0.370 0.335 0.334 0.362 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:06.0115,1136,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.4935,5,(0.494 0.304 0.305 0.326 0.364 0.411 0.445 0.473 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:07.3245,1174,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2619,5,(0.380 0.397 0.366 0.357 0.337 0.338 0.262 0.418 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:12.6542,1336,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.4418,6,(0.307 0.335 0.314 0.330 0.345 0.388 0.426 0.442 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:22.3185,1625,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2841,6,(0.284 0.422 0.432 0.426 0.412 0.381 0.348 0.337 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:23.8519,1669,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.4101,7,(0.336 0.385 0.410 0.319 0.319 0.332 0.360 0.345 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:25.3561,1715,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2988,7,(0.323 0.316 0.343 0.327 0.299 0.360 0.346 0.354 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:27.6234,1784,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.5081,8,(0.498 0.508 0.316 0.361 0.543 0.577 0.512 0.505 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:30.4466,1867,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2854,8,(0.382 0.285 0.405 0.419 0.444 0.403 0.423 0.404 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:32.2601,1922,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.5596,9,(0.324 0.308 0.305 0.361 0.388 0.471 0.494 0.560 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:36:34.2440,1982,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2931,9,(0.293 0.362 0.375 0.350 0.343 0.331 0.324 0.303 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:36:59.5463,2737,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.6475,10,(0.346 0.403 0.464 0.552 0.556 0.618 0.647 0.320 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:37:00.1308,2754,590961cb6765e08b5f007e94133158fe,anonymous,ReceivingData,0.2820,10,(0.624 0.643 0.644 0.607 0.557 0.529 0.338 0.282 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-05 16:37:00.3204,2758,590961cb6765e08b5f007e94133158fe,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
