Event,Timestamp,Framecount,SessionID,Email,BCIConfidence,BCIState
Sample,2021-05-06 10:13:57.7254,11,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5812,ReceivingData
Sample,2021-05-06 10:13:57.7607,12,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5983,ReceivingData
Sample,2021-05-06 10:13:57.7750,13,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.6049,ReceivingData
Sample,2021-05-06 10:13:57.8619,16,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.6328,ReceivingData
Sample,2021-05-06 10:13:57.8669,17,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.6314,ReceivingData
Sample,2021-05-06 10:13:57.9818,25,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.6002,ReceivingData
Sample,2021-05-06 10:13:57.9955,26,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5911,ReceivingData
Sample,2021-05-06 10:13:58.1053,34,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5626,ReceivingData
Sample,2021-05-06 10:13:58.1183,35,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5671,ReceivingData
Sample,2021-05-06 10:13:58.2310,42,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5729,ReceivingData
Sample,2021-05-06 10:13:58.2446,43,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5792,ReceivingData
Sample,2021-05-06 10:13:58.3691,52,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5966,ReceivingData
Sample,2021-05-06 10:13:58.3829,53,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.6043,ReceivingData
Sample,2021-05-06 10:13:58.4933,61,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5763,ReceivingData
Sample,2021-05-06 10:13:58.5078,62,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5270,ReceivingData
Sample,2021-05-06 10:13:58.6177,70,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.5132,ReceivingData
Sample,2021-05-06 10:13:58.6326,71,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3921,ReceivingData
Sample,2021-05-06 10:13:58.7422,79,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3856,ReceivingData
Sample,2021-05-06 10:13:58.7566,80,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3877,ReceivingData
Sample,2021-05-06 10:13:58.7703,81,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3615,ReceivingData
Sample,2021-05-06 10:13:58.8691,88,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3591,ReceivingData
Sample,2021-05-06 10:13:58.8824,89,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3783,ReceivingData
Sample,2021-05-06 10:13:58.9937,97,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3852,ReceivingData
Sample,2021-05-06 10:13:59.0071,98,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.3990,ReceivingData
Sample,2021-05-06 10:13:59.1193,106,5894ad244e6aceab2737d4fd5ea26911,anonymous,0.4332,ReceivingData
