,P1,P2,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
Q1,7,5,7,7,6,6,6,7,7,7,7,4,4,7
Q2,7,5,5,5,4,4,2,7,5,6,4,6,3,4
Q3,2,3,1,3,5,4,3,3,2,1,4,6,5,4
Q4,2,2,1,5,1,6,2,1,1,1,3,1,3,3
Q5,4,3,4,5,3,1,3,1,1,4,3,4,6,3
Q6,7,5,7,6,6,7,7,7,7,7,6,2,6,7
Q7,1,2,1,3,1,1,1,1,1,1,1,1,4,4
Q8,7,4,7,6,5,7,7,7,7,7,7,7,6,7
Q9,1,2,1,3,1,1,1,1,1,1,1,1,3,3
Q10,4,4,3,6,4,1,3,3,4,2,6,6,6,4
Q11,2,3,2,3,3,1,4,3,1,1,2,5,3,2
Q12,7,4,6,6,4,5,5,4,7,4,6,1,6,5
Sex,m,m,f,m,f,m,m,m,m,m,m,m,f,f
Age,23,26,22,23,21,22,23,23,26,29,27,26,55,25
BCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VR,1,0,1,1,0,0,1,1,1,1,0,1,0,1
